user,nemo,wx,snow,us,nyc,travel,boston,nywx,emcomm,mawx,ma,snowstorm,ny,traffic,ct,njwx,mastorm,emergency,storm
vanessabbyx0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0rland0g0nzal3z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
nema,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NicholasTeto,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
VMMUpdates,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CiNet3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elderjimmyhill,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ALVESJAMES17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Frekky,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ConciergeBoston,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Daniella_jp,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
stacos,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
nickgrossman,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rwithall,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hebsgaard,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FutureGovMag,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kiattacollazo,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taylormelsx0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kc8ysl_wx,0,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kc8ysl,0,693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jimmartin29,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
totallytucson,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stormwatch57,0,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OCCUPYCARLISLE,0,65,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ladyallein1,0,70,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emergencydotcom,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Info4Alerts,0,224,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0
PlanoWX,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donaldverger,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
CarolinaWx,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vawxwarning,0,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALANaid,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SunCityWestFire,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GailGabrielle,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goatys_News,126,210,22,192,18,16,8,18,12,12,13,0,10,18,6,10,6,2,2
mesodiscussions,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOMFOTY,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abc15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan_Wichman,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SherryAndrusiak,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stratustatus,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clagett,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chuckles_13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dalypj,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ega1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MaryJoFly,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yonkersoem40,2,17,0,0,2,0,2,4,0,0,2,1,1,0,2,1,2,0,0
anon1101101,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AviationandWX,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AircrewBuzz,2,30,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0
TheRealPagel,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daisymcgarr,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
National_WX,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
etsujb,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AreWeMarried,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wnywxguy,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AndreaFine,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReadyBroward,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZbeetlebug,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JosephSapia,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oshma,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KatPowers,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CatherineNBarde,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MrMarkDPotter,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
adcunningham,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
io_saturnalia,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TomZarecki,8,14,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0
FOX10Weather,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gagnier,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gamallp,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
digiphile,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ePirate,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RiadTwal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AnaheimExpress1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cait_Rowe,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UnityInDisaster,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iCareAware,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
krobertory,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the_dp,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mainehorses,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slines,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheClayCrusher,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KoHoSo,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diggs808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barometrbrandon,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NoWarNow2011,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badjerry,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CNNCNY,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
brunota2003,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RheaMaloney25,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bd560_1988,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beltonmichael,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SaludHEALTHinfo,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jwilliamsCDN,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WickedPulling,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randirobics,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
DarrellRuby,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Always1PAO,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mjuszczak,4,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Wenders099,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citizen_Corps,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShiverMyDear,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HumanityRoad,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sahnetaeter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1Biganimal,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mixta_la,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeannie_Hartley,0,24,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthernFlorida,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Underaflower,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NeighborhoodFP,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
slackadjuster,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
michaelevs,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JaimieMurdock,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
n3rdpower,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pjoharajr,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
femaregion8,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christinakr,0,18,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chasethetwister,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShurRelle409,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wheeliesmom,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAL301,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NMerianosWX,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
jhickey62,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CopaDave,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
boston_winning,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CohassetBOH,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JCStormChaser_,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
karlii_,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
msofia7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ladyotomoofsaka,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DennisBohannon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigBear_Lake,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NWSHanford,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jkielyjr,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
G7IGB,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChrisHolcomb,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
krmsradio,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
935rocksthelake,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jku_jeep,2,12,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alwarren56,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rightnowio_feed,24,22,22,0,0,0,22,0,0,22,0,0,0,0,0,0,0,0,0
SidneyRossTerry,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XLBernardo3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fatfoxcoon,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marissa_Scott,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElkeeS,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ElinSilveous,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WirelessFdn,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MurphyPalmer,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DaveN7FAN,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
alangomez,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HealthyNJ_UMDNJ,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KelliMerritz,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CraigatFEMA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yellowbird73,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARKERzack,0,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RegionalCntrOC,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RoyAtkinson,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESUSMX,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cinbee,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BoKnowsWeather,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zanefred,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StuartClark,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OC_Scotty,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
machine906,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KCIAirport,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deeboochi,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Webbie0119,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandytraub,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Farmerbright,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hagen_dental,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zooey02,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ClementePatch,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ReadyOC,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carterbees,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BrightStarOCnSD,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JeremyGlobalTV,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARIBELMER,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ChristopherBLV,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
durumcrustulum,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
YWAMboston,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jess_mccrae,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drewtheprinter,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SouthMBWeather,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thetulsan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layingpipeie,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11AliveNews,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
goodwyne,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBraves,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StarvingMet,0,16,6,0,0,0,0,2,0,0,0,4,0,0,0,9,0,0,0
Scooter313,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
channel1atlanta,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jaykelly26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colonialdude,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3XT1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DebbieJBrown,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheaptarts,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AHopeGoodwin86,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
evilgeneral4,2,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0
PSummerhawk,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ruisaldanha,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDCReady,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
